Date,Time,Room Temperature,Room Setpoint,Heating Demand,Cooling Demand,Heating/Cooling External Control,Current Outside Temperature,Outside Temperature External,Current Solar Power,Solar Power External
10/11/2020,15:45:46,21.974766,21.000000,0.000000,39.449593,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:46:46,22.033531,21.000000,0.000000,47.688942,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:47:46,22.039042,21.000000,0.000000,55.189651,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:48:46,22.008871,21.000000,0.000000,62.138638,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:49:46,21.956482,21.000000,0.000000,68.388054,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:50:46,21.893200,21.000000,0.000000,74.107437,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:51:46,21.826086,21.000000,0.000000,79.128609,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:52:46,21.758089,21.000000,0.000000,83.591118,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:53:46,21.693729,21.000000,0.000000,87.491089,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:54:46,21.632694,21.000000,0.000000,91.025208,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:55:46,21.573009,21.000000,0.000000,94.171745,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:56:46,21.522243,21.000000,0.000000,96.945473,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:57:46,21.653124,21.000000,0.000000,23.662670,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:58:46,21.872917,21.000000,0.000000,32.585266,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,15:59:46,21.988743,21.000000,0.000000,41.048134,0,2.460000,2.460000,41.580002,41.580002
10/11/2020,16:00:46,22.033825,21.000000,0.000000,49.124729,0,2.460000,1.830000,41.580002,9.360000
10/11/2020,16:01:46,21.939482,21.000000,0.000000,55.051571,0,1.830000,1.830000,9.360000,9.360000
10/11/2020,16:02:46,21.926275,21.000000,0.000000,61.170303,0,1.830000,1.830000,9.360000,9.360000
10/11/2020,16:03:46,21.891685,21.000000,0.000000,67.008209,0,1.830000,1.830000,9.360000,9.360000
10/11/2020,16:04:46,21.845474,21.000000,0.000000,72.437515,0,1.830000,1.830000,9.360000,9.360000
10/11/2020,16:05:46,21.790939,21.000000,0.000000,77.326775,0,1.830000,1.830000,9.360000,9.360000
10/11/2020,16:06:46,21.735449,21.000000,0.000000,81.842659,0,1.830000,1.830000,9.360000,9.360000
