request_id,forecast_time,power_output_w,power_output_f0_w,power_output_f10_w,power_output_f25_w,power_output_f50_w,power_output_f75_w,power_output_f90_w,power_output_f100_w,system_temperature_c,nominal_output_efficiency,air_temperature_c,cloud_cover_total,cloud_cover_high,cloud_cover_medium,cloud_cover_low,system_radiation_global_wm2,system_radiation_direct_wm2,system_radiation_diffuse_wm2,radiation_global_wm2,radiation_direct_wm2,radiation_diffuse_wm2
4421,2020-10-12 14:00:00+03,6768.7,2756.8,3415.7,4381.1,5218.4,6245.7,6863.4,7435.3,20.14,0.991,11.7,99.9,99.9,0.1,18.9,340.63,81.9,257.98,295.86,160.04,235.84
4421,2020-10-12 15:00:00+03,4194.2,1222,2410.2,3022.2,4168.5,4936,5442.4,5739.4,16.97,0.964,11.6,99.9,99.8,3.4,39.1,217.73,8.27,208.99,210.39,19.37,203.7
4421,2020-10-12 16:00:00+03,2668.6,1428.5,1936.5,2413.3,2904.7,3553.9,3786.8,4030.7,14.94,0.92,11.4,100,100,0.3,16,145.57,5.39,139.86,145.52,17.58,140.53
4421,2020-10-12 17:00:00+03,1868.9,366.1,482.8,866.7,1184.3,1605.5,1801.5,2310.2,13.85,0.875,11.25,53.6,0,0,53.6,108.93,6.44,102.21,115.36,40.62,107.4
4421,2020-10-12 18:00:00+03,473.8,45.3,125,206.9,272.7,363.2,499,556.1,11.95,0.646,11.05,100,0,0,100,36.67,0,36.53,43.97,18.18,42.37
4421,2020-10-12 19:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.85,NaN,10.85,0.4,0,0,0.3,NaN,NaN,NaN,0.25,0.01,0.25
4421,2020-10-12 20:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.75,NaN,10.75,2.3,0,0,2.3,NaN,NaN,NaN,0.01,0,0.01
4421,2020-10-12 21:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.5,NaN,10.5,94.4,0,0.9,94.3,NaN,NaN,NaN,0,0,0
4421,2020-10-12 22:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.05,NaN,10.05,100,0,99.7,100,NaN,NaN,NaN,0,0,0
4421,2020-10-12 23:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5,NaN,9.5,75.8,0,72,16.2,NaN,NaN,NaN,0,0,0
4421,2020-10-13 00:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1,NaN,9.1,86.4,0,18,86.4,NaN,NaN,NaN,0,0,0
4421,2020-10-13 01:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9,NaN,8.9,100,84.6,100,100,NaN,NaN,NaN,0,0,0
4421,2020-10-13 02:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.55,NaN,8.55,100,0.4,100,100,NaN,NaN,NaN,0,0,0
4421,2020-10-13 03:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3,NaN,8.3,100,98.9,100,99.7,NaN,NaN,NaN,0,0,0
4421,2020-10-13 04:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3,NaN,8.3,100,71.2,100,97.3,NaN,NaN,NaN,0,0,0
4421,2020-10-13 05:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5,NaN,8.5,100,97.4,97.4,100,NaN,NaN,NaN,0,0,0
4421,2020-10-13 06:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.65,NaN,8.65,98.6,0,2.8,98.6,NaN,NaN,NaN,0,0,0
4421,2020-10-13 07:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.65,NaN,8.65,100,0.1,100,100,NaN,NaN,NaN,0,0,0
4421,2020-10-13 08:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7,NaN,8.7,48.3,0,0,48.3,NaN,NaN,NaN,0,0,0
4421,2020-10-13 09:00:00+03,664.8,11.8,45.1,160.8,500,654.8,680.3,684.2,10.07,0.714,8.7,2.4,0,0,2.4,46.8,3.93,42.99,33.91,13.48,33.11
4421,2020-10-13 10:00:00+03,3458.7,456.8,778.7,2085.8,2969.1,3357.1,3475.5,3547,14.13,0.954,8.85,5.5,0,0,5.5,182.09,30.84,150.53,125.69,74.43,113.03
4421,2020-10-13 11:00:00+03,2733.1,475.5,1007.1,2292.2,3626.8,4784.1,4907.4,4985.9,13.42,0.929,9.15,100,0,0,100,146.96,27.84,118.76,121.86,55.51,107.28
4421,2020-10-13 12:00:00+03,2054.1,331.8,774.1,1596.7,3337,5391.6,5661.3,5748.6,12.93,0.892,9.6,93.1,0,0,93.1,114.92,10.65,104.03,105.87,19.45,99.46
4421,2020-10-13 13:00:00+03,5694.7,450.9,899.4,3146.6,4142.7,6279,7785,7891.2,18.44,0.985,10.25,17.9,0,0,17.9,287.62,70.34,216.66,241.25,128.1,194.41
4421,2020-10-13 14:00:00+03,6854.3,410.1,1038,3315.7,5236.5,6668.5,7444.7,7736.7,20.52,0.99,10.8,91.2,0,0,91.2,345.18,106.77,237.64,295.82,210.96,217.99
4421,2020-10-13 15:00:00+03,4058.7,476.7,1627.1,2804.4,4392.2,5005.7,5652.4,6029.7,16.88,0.961,10.95,97.7,0,0,97.7,212.32,48.27,163.56,195.81,114.52,157
4421,2020-10-13 16:00:00+03,2106.5,714.1,1568.1,2209.5,2879.3,3481.7,3834.3,3981.4,14.16,0.891,10.75,99.9,0,0,99.9,120.03,17.22,102.5,118.89,57.22,103
4421,2020-10-13 17:00:00+03,755.3,310.3,589.5,919.5,1448.3,1779.7,1920.7,2032.1,12.04,0.732,10.5,83.9,0,0,83.9,52.2,1.83,50.25,53.56,11.96,51.29
4421,2020-10-13 18:00:00+03,424,67.2,134.3,237.7,392.3,477.6,522.4,541.6,11.08,0.627,10.05,24,0,0,24,33.81,0,33.68,39.77,12.69,38.73
4421,2020-10-13 19:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2,NaN,9.2,59.2,0,0,59.2,NaN,NaN,NaN,0.67,0.08,0.67
4421,2020-10-13 20:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2,NaN,8.2,32.8,10.2,0,25.2,NaN,NaN,NaN,0,0.07,0
4421,2020-10-13 21:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3,NaN,7.3,3.2,1.1,0,2.2,NaN,NaN,NaN,0,0,0
4421,2020-10-13 22:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5,NaN,6.5,4.2,3.8,0,0.4,NaN,NaN,NaN,0,0,0
4421,2020-10-13 23:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8,NaN,5.8,49.5,49.5,0,0,NaN,NaN,NaN,0,0,0
4421,2020-10-14 00:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.35,NaN,5.35,5.1,4.3,0,0.8,NaN,NaN,NaN,0,0,0
4421,2020-10-14 01:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1,NaN,5.1,11.2,1.2,0,10.1,NaN,NaN,NaN,0,0,0
4421,2020-10-14 02:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.85,NaN,4.85,6.8,1.1,0,5.8,NaN,NaN,NaN,0,0,0
