Date,Time,Room Temperature,Room Setpoint,Heating Demand,Heating Power,Cooling Demand,Cooling Power,Current Outside Temperature,Outside Temperature External,Current Solar Power,Solar Power External,Supply Air Temp
16/11/2020,16:58:01,22.009319,21.000000,0.000000,0.000000,57.170696,496.738647,5.230000,5.230000,1.960000,1.960000,18.580965
16/11/2020,16:59:01,21.967897,21.000000,0.000000,0.000000,63.650085,548.499512,5.230000,5.230000,1.960000,1.960000,18.598621
16/11/2020,17:00:01,21.910419,21.000000,0.000000,0.000000,69.472443,597.480469,5.230000,5.230000,1.960000,1.960000,18.555161
16/11/2020,17:01:01,21.846718,21.000000,0.000000,0.000000,74.698982,633.967651,5.230000,5.180000,1.960000,0.000000,18.585857
16/11/2020,17:02:01,21.793015,21.000000,0.000000,0.000000,79.591560,668.185547,5.180000,5.180000,0.000000,0.000000,18.602448
16/11/2020,17:03:01,21.663671,21.000000,0.000000,0.000000,82.560791,688.478394,5.180000,5.180000,0.000000,0.000000,18.528740
16/11/2020,17:04:01,21.550890,21.000000,0.000000,0.000000,84.815651,691.898071,5.180000,5.180000,0.000000,0.000000,18.568180
16/11/2020,17:05:01,21.592636,21.000000,0.000000,0.000000,22.424671,183.307510,5.180000,5.180000,0.000000,0.000000,18.601345
16/11/2020,17:06:01,21.731892,21.000000,0.000000,0.000000,29.236685,244.191925,5.180000,5.180000,0.000000,0.000000,18.590992
16/11/2020,17:07:01,21.792290,21.000000,0.000000,0.000000,35.565506,299.014862,5.180000,5.180000,0.000000,0.000000,18.594448
16/11/2020,17:08:01,21.798260,21.000000,0.000000,0.000000,41.274567,347.682251,5.180000,5.180000,0.000000,0.000000,18.596226
16/11/2020,17:09:01,21.767984,21.000000,0.000000,0.000000,46.296413,391.160583,5.180000,5.180000,0.000000,0.000000,18.544258
16/11/2020,17:10:01,21.715391,21.000000,0.000000,0.000000,50.616013,424.760864,5.180000,5.180000,0.000000,0.000000,18.539112
16/11/2020,17:11:01,21.652098,21.000000,0.000000,0.000000,54.293602,450.559723,5.180000,5.180000,0.000000,0.000000,18.553455
16/11/2020,17:12:01,21.585936,21.000000,0.000000,0.000000,57.400799,470.365051,5.180000,5.180000,0.000000,0.000000,18.574144
16/11/2020,17:13:01,21.520828,21.000000,0.000000,0.000000,59.997047,484.538269,5.180000,5.180000,0.000000,0.000000,18.602264
16/11/2020,17:14:01,21.577579,21.000000,0.000000,0.000000,22.844341,183.008331,5.180000,5.180000,0.000000,0.000000,18.721565
16/11/2020,17:15:01,21.648281,21.000000,0.000000,0.000000,28.136959,231.374329,5.180000,5.180000,0.000000,0.000000,18.614384
16/11/2020,17:16:01,21.670746,21.000000,0.000000,0.000000,33.013771,270.136566,5.180000,5.180000,0.000000,0.000000,18.670149
16/11/2020,17:17:01,21.659922,21.000000,0.000000,0.000000,37.397343,308.489899,5.180000,5.180000,0.000000,0.000000,18.603395
16/11/2020,17:18:01,21.627884,21.000000,0.000000,0.000000,41.335705,340.721558,5.180000,5.180000,0.000000,0.000000,18.576202
16/11/2020,17:19:01,21.584608,21.000000,0.000000,0.000000,44.710358,364.147430,5.180000,5.180000,0.000000,0.000000,18.605686
16/11/2020,17:20:01,21.536634,21.000000,0.000000,0.000000,47.578472,384.688965,5.180000,5.180000,0.000000,0.000000,18.616037
16/11/2020,17:21:01,21.525053,21.000000,0.000000,0.000000,20.641586,165.640137,5.180000,5.180000,0.000000,0.000000,18.657438
16/11/2020,17:22:01,21.585918,21.000000,0.000000,0.000000,25.305452,205.100708,5.180000,5.180000,0.000000,0.000000,18.650465
16/11/2020,17:23:01,21.606447,21.000000,0.000000,0.000000,29.639400,240.762299,5.180000,5.180000,0.000000,0.000000,18.655418
16/11/2020,17:24:01,21.598495,21.000000,0.000000,0.000000,33.560822,273.801788,5.180000,5.180000,0.000000,0.000000,18.621370
16/11/2020,17:25:01,21.573101,21.000000,0.000000,0.000000,37.061722,301.639221,5.180000,5.180000,0.000000,0.000000,18.604313
16/11/2020,17:26:01,21.537188,21.000000,0.000000,0.000000,40.144943,326.356018,5.180000,5.180000,0.000000,0.000000,18.579964
16/11/2020,17:27:01,21.499588,21.000000,0.000000,0.000000,0.000000,0.000000,5.180000,5.180000,0.000000,0.000000,18.579948
16/11/2020,17:28:01,21.557110,21.000000,0.000000,0.000000,24.072916,196.729492,5.180000,5.180000,0.000000,0.000000,18.565348
16/11/2020,17:29:01,21.571426,21.000000,0.000000,0.000000,28.109604,230.516083,5.180000,5.180000,0.000000,0.000000,18.555523
16/11/2020,17:30:01,21.562521,21.000000,0.000000,0.000000,31.663355,258.508514,5.180000,5.180000,0.000000,0.000000,18.585245
16/11/2020,17:31:01,21.539454,21.000000,0.000000,0.000000,34.919514,283.587189,5.180000,5.180000,0.000000,0.000000,18.589342
16/11/2020,17:34:02,21.550924,21.000000,0.000000,0.000000,24.333153,197.398849,5.180000,5.180000,0.000000,0.000000,18.609037
