Date,Time,Room Temperature,Room Setpoint,Heating Demand,Cooling Demand,Heating/Cooling External Control,Current Outside Temperature,Outside Temperature External,Current Solar Power,Solar Power External
06/11/2020,14:58:03,20.241081,21.000000,100.000000,0.000000,0,9.340000,9.340000,139.789993,139.789993
06/11/2020,14:59:03,20.241623,21.000000,100.000000,0.000000,0,9.340000,9.340000,139.789993,139.789993
06/11/2020,15:00:03,20.242264,21.000000,100.000000,0.000000,0,9.340000,9.180000,139.789993,88.029999
06/11/2020,15:01:03,20.112255,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:02:03,20.147154,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:03:03,20.151999,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:04:03,20.156824,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:05:03,20.161615,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:06:03,20.166361,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:07:03,20.171057,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:08:03,20.175703,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:09:03,20.180292,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:10:03,20.184809,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:11:03,20.189270,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:12:03,20.193663,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:13:03,20.198061,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:14:03,20.202244,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:15:03,20.206417,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:16:03,20.210522,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:17:04,20.214546,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:18:04,20.218493,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:19:03,20.222414,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:20:04,20.226133,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:21:03,20.229828,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:22:03,20.233423,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:23:03,20.236940,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:24:03,20.240435,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:25:03,20.243729,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:26:03,20.247002,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:27:03,20.250204,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:28:03,20.253325,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:29:03,20.256411,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:30:03,20.259319,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:31:03,20.262182,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:32:04,20.299719,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:33:04,20.302322,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:34:04,20.304848,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:35:04,20.307343,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:36:04,20.309677,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:37:04,20.312004,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:38:04,20.314274,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:39:03,20.316479,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:40:03,20.318653,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:41:04,20.320683,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:42:03,20.322704,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:43:03,20.324656,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:44:03,20.326540,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:45:03,20.328360,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:46:03,20.330118,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:47:03,20.331825,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
06/11/2020,15:48:03,20.333473,21.000000,100.000000,0.000000,0,9.180000,9.180000,88.029999,88.029999
