Date,Time,Room Temperature,Room Setpoint,Heating Demand,Heating Power,Cooling Demand,Cooling Power,Current Outside Temperature,Current Solar Power,Supply Air Temp
08/12/2020,16:10:30,21.565094,20.993299,0.000000,0.000000,34.446190,278.933472,0.800000,0.110000,19.098330
08/12/2020,16:11:30,21.544085,20.990231,0.000000,0.000000,37.869099,307.717590,0.800000,0.110000,19.052523
08/12/2020,16:12:30,21.513927,20.985609,0.000000,0.000000,41.048874,334.267548,0.800000,0.110000,18.998945
08/12/2020,16:13:30,21.480734,20.980301,0.000000,0.000000,43.855965,356.124420,0.800000,0.110000,18.992083
08/12/2020,16:14:30,21.546642,20.988621,0.000000,0.000000,23.823639,192.718033,0.800000,0.110000,19.087635
08/12/2020,16:15:30,21.578060,20.994459,0.000000,0.000000,28.046144,226.780991,0.800000,0.110000,19.122276
08/12/2020,16:16:30,21.583914,20.995991,0.000000,0.000000,32.031494,260.131866,0.800000,0.110000,19.097836
08/12/2020,16:17:30,21.571266,20.994381,0.000000,0.000000,35.794445,291.436310,0.800000,0.110000,19.055723
08/12/2020,16:18:30,21.546974,20.990761,0.000000,0.000000,39.138329,318.860352,0.800000,0.110000,19.037371
08/12/2020,16:20:30,21.480158,20.980289,0.000000,0.000000,45.149246,364.056519,0.800000,0.110000,19.040201
08/12/2020,16:21:30,21.551886,20.989380,0.000000,0.000000,23.967945,194.297394,0.800000,0.110000,19.078360
08/12/2020,16:22:30,21.584352,20.995449,0.000000,0.000000,28.245525,230.013428,0.800000,0.110000,19.079662
08/12/2020,16:23:30,21.590281,20.997000,0.000000,0.000000,32.340698,262.681396,0.800000,0.110000,19.089479
08/12/2020,16:24:30,21.578974,20.995590,0.000000,0.000000,36.039986,293.957062,0.800000,0.110000,19.062323
08/12/2020,16:25:30,21.554367,20.991920,0.000000,0.000000,39.491783,318.884277,0.800000,0.110000,19.106842
08/12/2020,16:26:30,21.524450,20.987280,0.000000,0.000000,42.684505,341.444458,0.800000,0.110000,19.140593
08/12/2020,16:27:30,21.491400,20.982090,0.000000,0.000000,45.620754,363.739899,0.800000,0.110000,19.128975
08/12/2020,16:28:30,21.540361,20.982090,0.000000,0.000000,22.924492,185.026978,0.800000,0.110000,19.097042
08/12/2020,16:29:30,21.583399,20.995029,0.000000,0.000000,27.199070,219.060394,0.800000,0.110000,19.155336
08/12/2020,16:30:30,21.597330,20.997950,0.000000,0.000000,31.364050,254.410538,0.800000,0.110000,19.119938
08/12/2020,16:31:30,21.590206,20.997950,0.000000,0.000000,35.238358,286.130188,0.800000,0.110000,19.105209
08/12/2020,16:32:30,21.570295,20.994400,0.000000,0.000000,38.852379,314.751282,0.800000,0.110000,19.100521
08/12/2020,16:33:30,21.539600,20.989740,0.000000,0.000000,42.141285,341.557526,0.800000,0.110000,19.057777
08/12/2020,16:34:30,21.502951,20.984100,0.000000,0.000000,45.172932,366.138397,0.800000,0.110000,19.021326
08/12/2020,16:35:30,21.523035,20.984051,0.000000,0.000000,21.595615,175.133499,0.800000,0.110000,19.046532
08/12/2020,16:36:30,21.577362,20.993860,0.000000,0.000000,26.065483,215.609848,0.800000,0.110000,18.962847
08/12/2020,16:37:30,21.596714,20.997700,0.000000,0.000000,30.283159,249.186142,0.800000,0.110000,19.019302
08/12/2020,16:38:30,21.594105,20.997801,0.000000,0.000000,34.244572,281.364319,0.800000,0.110000,19.026756
08/12/2020,16:40:30,21.547699,20.990980,0.000000,0.000000,41.260643,336.857635,0.800000,0.110000,19.023409
08/12/2020,16:41:30,21.512934,20.985540,0.000000,0.000000,44.322937,360.259033,0.800000,0.110000,19.018547
08/12/2020,16:42:30,21.504974,20.979780,0.000000,0.000000,20.645039,167.597366,0.800000,0.110000,19.021040
08/12/2020,16:43:30,21.569859,20.992411,0.000000,0.000000,25.166973,206.347351,0.800000,0.110000,19.017530
08/12/2020,16:44:30,21.598423,20.997789,0.000000,0.000000,29.561386,239.054276,0.800000,0.110000,19.125685
08/12/2020,16:45:30,21.600370,20.998699,0.000000,0.000000,33.548508,274.894073,0.800000,0.110000,19.052395
08/12/2020,16:46:30,21.584150,20.996519,0.000000,0.000000,37.294914,305.894348,0.800000,0.110000,19.028559
